Full Name,Abbreviation,Measurement Type,Definition (if required)
Milligrams,mg,Mass,
Grams,g,Mass,
Kilograms,kg,Mass,
Metric Tonnes,Mt,Mass,
Liter,L,Volume,
Cubic meters,m^3,Volume,
Meter,m,Length,
Kilometer,km,Length,
Square meter,m2,Area,
Seconds,s,Time,
Minute,min,Time,
Hour,h,Time,
Ampere,A,Electric Current,
Kilowatt hour,kWh,Energy,
Joule,J,Energy,
Kilojoule,kJ,Energy,
Megajoule,MJ,Energy,
British thermal unit,BTU,Energy,
Calorie,cal,Energy,
Joules per meter squared,J/m²,Toughness,
Watts per meter-Kelvin,W/mK,Thermal Conductivity,
Meganewton Per Square Meter,MN/m²,Tensile Strength,
Newtons per Square Meter,N/m²,Young's modulus,
Specific Modulus,Pa(kg/m³),Specific modulus,
Pascal,"Pa, Nm⁻²",Compressive strength,
Newtons per Square Meter,N/m²,Shear strength,
Newtons per Square Meter,N/m²,Yield strength,
Newton,n,Strain hardening index,
Newtons per square millimeter,N/mm²,Hardness,
Kilojoules per square meter,kJ/m2,Impact toughness,
Kilograms per cubic meter,kg/m³,Density,
Square meter per second,m2/s,Viscosity,
Square meter,m²,Permeability (of fluid in a solid),
Millileter per minute,ml/min,Porosity,
Meter per second,m/s,Explosive velocity,
Melt flow index,g/10min,Melt flow index,
Newtons per Square Meter,N/m²,Piezoelectric constants,
Siemens per meter,S/m,Electrical conductivity,
Farad per meter,F/m,Permittivity,
Volt per meter,V/m,Dielectric strength,
Volts per kelvin,V/K,Seebeck coefficient,
Square meter per second,m²/s,Thermal diffusivity,
Joule per square meter second,J/m²s,Emissivity,
Reciprocal kelvin,1/K or K⁻¹,,
Joules per kilogram per Kelvin degree,J  kg⁻¹ K⁻¹,Specific heat,
kilojoules per mol,kJ/mol,Heat of vaporization,
Joules per kilogram,J/Kg,Heat of fusion,
Grams Force per Square Centimeter,cm2/g,Pyrophoricity,
Newtons per Square Meter,N/m²,Vapor Pressure,
Degrees Fahrenheit,°F,Autoignition temperature,
Dollar,$,Currency,
Kelvin,K,Critical temperature,
"Degrees Celcius, Degrees Fahrenheit","°C,°F",Glass transition temperature,
"Degrees Celcius, Degrees Fahrenheit, Kelvin","°C ,°F, K",Melting point,
"Degrees Celcius, Degrees Fahrenheit, Kelvin","°C, °F, K",Boiling point,
"Degrees Celcius, Degrees Fahrenheit, Kelvin",K,Triple point,
"Degrees Celcius, Degrees Fahrenheit, Kelvin","°C, °F, K",Flash point,
"Degrees Celcius, Degrees Fahrenheit, Kelvin","°C, °F, K",Binary phase diagram,
"Degrees Celcius, Degrees Fahrenheit, Kelvin","°C, °F, K",Eutectic point,
Kelvin,K,Curie Point,
Joules per square meter,J/m²,Surface energy,
Square meters per gram,m²/g,Specific internal surface area,
Percent unit of reactivity,%ΔK/K,Reactivity,
🚩,g·m⁻²·d⁻¹,Corrosion resistance,
Moles per cubic meter,mol/m³,Concentration,
Henries per meter,H/m,Permeability,
Joules per cubmic meter,J/m³,Hysteresis,
Mmoles per liter,mol/liter,Absorptivity,
Candela per lux per square meter,cd/lx/m²,Reflectivity,
Platinum-cobalt units,PCU/Pt-Co/APHA/Hazen,Color,
"Amperes per watt, volts per watt","A/W,V/W",Photosensitivity,
Candela,cd,Luminosity,
Sabin,sabin,Acoustical absorption,
Meters per second,m/s,Speed of sound,
Barn,barn,Neutron cross-section,
Inverse second,s⁻¹,Specific activity,
Lethal Dose,LD₅₀,Toxicity,
MegaJoules per kilogram,MJ/kg,Embodied Energy,
Kilograms of CO2e per kilogram of product or material,kgCO2e/kg,Embodied CO2 (or other global warming gases),
Metric tonne of CO2e per kilogram of product or material,MtCO2e/kg,Embodied CO2 (or other global warming gases),
Daltons,Da,Atomic number,
Daltons,Da,Atomic weight,
Inches Per Revolution,ipr,Machining speeds and feeds,
Degrees Celcius,°C,Extruding temperature and pressure,
Decibel,dB,Sound reflection,
Decibel,dB,Sound transfer,
Atomic mass,kg,Atomic mass,
Farad,F,Capacitance,
Squared coulomb per newton meter squared,C²/Nm²,Electric susceptibility,
Cubic centimeter,cm³,Magnetoelectric polarizability,
Microcoulomb per square meter kelvin,μC/m²K,Pyroelectricity,
Degrees Celcius,°C,Curie temperature,
🚩,Am⁻¹,Diamagnetism,
https://www.efunda.com/glossary/units/units--hall_coefficient--cubic_meter_per_coulomb.cfm,m³/C,Hall coefficient,
🚩,A/m,Magnetostriction,
Kilojoules per cubic meter,kJ/m³,Maximum energy product,
Millimeter,mm,Brittleness,
Newtons per square meter,N/m²,Bulk modulus,
Meters per second,s−1,Creep,
Pascal,Pa,Elasticity,
Pascal,Pa,Flexibility,
Pascal,Pa,Flexural modulus,
"Pound per square inch, megapascal","psi,MPa",Flexural strength,
megapascal square root meter,MPa √m,Fracture toughness,
Square meter per second,m²/s,Mass diffusivity,
Joule per cubic meter,J/m³,Resilience,
Pascal,Pa,Shear modulus,
🚩,p.u,Slip,
Newton meters per kilogram,Pa⋅m³/kg,Specific strength,
Newtons per cubic meter,N/m³,Specific weight,
Newtons per meter,N/m,Stiffness,
Microinch,µin,Surface roughness,
Nanometers per centimeter,nm/cm,Birefringence,
Newtons,N,Photoelasticity,
Square meters,m²,Scattering,
"Degrees Celcius, Degrees Fahrenheit","°C, °F",Ductile-to-brittle transition temperature,
Degrees Celcius,°C,Inversion temperature,
Reciprocal kelvin,K⁻¹,Thermal expansion,
Inch,in,Length,
Foot,ft,Length,
Mile,mi,Length,
Ton,tn,Mass,
Pound,lb,Mass,
Ounce,oz.,Volume,
Fluid ounce,fl oz.,Volume,
Gallon,gl,Volume,
Barrel,bbl,Volume,
Square foot,sq. ft.,Area,
Acre,ac,Area,
Day,d,Time,
PDF,PDF. m2. yr,Land Use,Potentially Disappeared Fraction of species over a certain area over a certain time.
Disability-Adjusted Life Year,DALY,Health,One DALY represents the loss of the equivalent of one year of full health.
Freshwater ecotoxicity potential,CTUe,Toxicity,"The characterization factor for aquatic ecotoxicity impacts (ecotoxicity potential) is expressed in comparative toxic units (CTUe), an estimate of the potentially affected fraction of species (PAF) integrated over time and volume, per unit mass of a chemical emitted."
Human Toxicity Potential,CTUh,Toxicity,"The characterization factor for human toxicity impacts (human toxicity potential) is expressed in comparative toxic units (CTUh), the estimated increase in morbidity in the total human population, per unit mass of a chemical emitted, assuming equal weighting between cancer and non-cancer due to a lack of more precise insights into this issue."
kilo Becquerel,kBq,Radiation,A unit of radioactivity equal to one thousand becquerels.
Metric Million British Thermal Unit,MMBtu,Energy,It is the common unit used to measure heating content and the value of a fuel.
Gigatonnes of Carbon,GtC,Embodied CO2 (or other global warming gases),"Earth's carbon pools - the oceans, atmosphere, land, and living things - and is typically measured in units of gigatonnes of carbon per year (GtC/yr)"
Land Use Occupation,m2a,Land Use,Land use occupation is measured as area time (m2a).
Grams of Methane,g CH4,Embodied CO2 (or other global warming gases),
Tonnes of CO2 per capita or per head,ton CO2/cap,Embodied CO2 (or other global warming gases),
Millions of tonnes of CO2 equivalent,MTCO2e,Embodied CO2 (or other global warming gases),
Kilo tonnes of CH4,ktCH4,Embodied CO2 (or other global warming gases),
Hectare,ha,Area,
Meter year,m/yr,Area/Time,
Square meter year,m2/yr,Area/Time,
Metric tonne kilometer,Mt/km,Mass/Distance,
Guest night,Guest night,Occupancy/Time,Used in building operation studies
Person kilometer,person/km,Occupancy/Distance,